movieName,genre,imdb,director,cast
kannukkul nilavu,"drama, mystery, romance",5.9,fazil,"joseph vijay, shalini, kaveri, raghuvaran"
kushi,"comedy, drama, romance",7.5,s.j. suryah,"jyotika, joseph vijay, mumtaj, shilpa shetty kundra"
priyamanavale,"drama, romance",6.9,k. selvabharathi,"joseph vijay, radhika chaudhari, s.p. balasubrahmanyam, bhuvaneswari"
friends,"drama, comedy, romance",7.5,siddique,"joseph vijay, suriya, ramesh khanna, devayani"
badri,"action, sport",6.5,p.a. arun prasad,"joseph vijay, bhoomika chawla, monal, vivek"
shahjahan,"action, romance",6.7,k.s. ravi,"joseph vijay, balaji, banu balasubramaniam, chaplin balu"
thamizhan,"action, drama",5.2,a. majid,"joseph vijay, priyanka chopra, nassar, revathi"
youth,"drama, romance",5.6,vincent selva,"joseph vijay, fathima babu, madhan bob, bosskey"
bagavathi,"action, drama",5,a. venkatesh,"joseph vijay, reema sen, vadivelu, ashish vidyarthi"
vaseegara,"comedy, drama, romance",6,k. selvabharathi,"joseph vijay, sneha, vadivelu, gayatri jayaraman"
pudhiya geethai,"action, drama",4,jagan,"joseph vijay, meera jasmine, ameesha patel, kalabhavan mani"
thirumalai,"action, romance",6.2,ramana,"joseph vijay, jyotika, avinash, manoj k. jayan"
udhaya,"action, drama, thriller",3.8,azhagam perumal,"joseph vijay, simran, pyramid natarajan, sophiya haque"
ghilli,"action, romance",7.7,dharani,"joseph vijay, trisha krishnan, prakash raj, ashish vidyarthi"
madurey,action,4.4,r. madhesh,"joseph vijay, sonia agarwal, rakshitha, vadivelu"
thirupaachi,"action, drama",5.8,perarasu,"joseph vijay, trisha krishnan, srinivasa rao kota, manoj k. jayan"
sachein,"comedy, drama, romance",6.9,john mahendran,"joseph vijay, genelia d'souza, bipasha basu, vadivelu"
sukran,"action, drama",3.1,s.a. chandrashekhar,"rajan p. dev, ravi krishna, nalini, anita hassanandani reddy"
sivakaasi,"action, drama",5.2,perarasu,"joseph vijay, asin thottumkal, prakash raj, geetha"
aathi,"action, drama",3.7,ramana,"joseph vijay, trisha krishnan, vivek, sai kumar"
pokkiri,"action, thriller",7.2,prabhu deva,"joseph vijay, asin thottumkal, prakash raj, vadivelu"
azhagiya tamilmagan,"action, drama, thriller",4.5,bharathan,"joseph vijay, shriya saran, namitha, sayaji shinde"
kuruvi,"action, comedy, drama",3.7,dharani,"joseph vijay, trisha krishnan, suman, vivek"
villu,"action, thriller",3.3,prabhu deva,"joseph vijay, nayanthara, prakash raj, vadivelu"
vettaikaaran,"action, drama",4.7,babu sivan,"joseph vijay, anushka shetty, salim ghouse, p. ravi shankar"
sura,action,2.5,s.p. rajkumar,"joseph vijay, tamannaah bhatia, vadivelu, dev gill"
